Homo	9606
Bacteria	2
Fungi	4751
Viruses	10239
Archaea	2157
Amoebozoa	554915
Discoba	2611352
CRuMs	2608240
Metamonada	2611341
Sar	2698737
Eukaryota incertae sedis	2683617
Aphelida	2316435
Ichthyosporea	127916
Rotosphaerida	2686024
other sequences	28384
